YEAR,MONTH,BARANGAY_ID,Predicted_Cases,Predicted_Risk
2025,1,19,1.19,Low
2025,2,19,1.52,Low
2025,3,19,1.62,Low
2025,4,19,1.74,Low
2025,5,19,1.77,Low
2025,6,19,1.76,Low
2025,7,19,1.8,Low
2025,8,19,1.82,Low
2025,9,19,1.82,Low
2025,10,19,1.77,Low
2025,11,19,1.8,Low
2025,12,19,1.77,Low
2026,1,19,1.75,Low
2026,2,19,1.78,Low
2026,3,19,1.75,Low
2026,4,19,1.77,Low
2026,5,19,1.76,Low
2025,1,20,1.01,Low
2025,2,20,0.94,Low
2025,3,20,1.02,Low
2025,4,20,1.52,Low
2025,5,20,1.66,Low
2025,6,20,1.73,Low
2025,7,20,1.88,Low
2025,8,20,2.06,Low
2025,9,20,2.47,Low
2025,10,20,2.61,Low
2025,11,20,3.09,Low
2025,12,20,3.6,Medium
2026,1,20,3.63,Medium
2026,2,20,3.78,Low
2026,3,20,4.86,Medium
2026,4,20,5.3,Medium
2026,5,20,5.7,Medium
2025,1,21,20.48,High
2025,2,21,8.72,Medium
2025,3,21,5.15,Medium
2025,4,21,11.09,Low
2025,5,21,20.95,High
2025,6,21,40.77,High
2025,7,21,13.38,High
2025,8,21,2.34,Low
2025,9,21,1.14,Low
2025,10,21,2.21,Low
2025,11,21,3.41,Low
2025,12,21,3.56,Low
2026,1,21,4.57,Medium
2026,2,21,4.87,Medium
2026,3,21,5.22,Medium
2026,4,21,6.49,Medium
2026,5,21,7.99,Medium
2025,1,22,4.53,Low
2025,2,22,5.02,Medium
2025,3,22,5.48,Medium
2025,4,22,5.82,Medium
2025,5,22,6.72,Medium
2025,6,22,9.17,Medium
2025,7,22,12.1,High
2025,8,22,8.94,High
2025,9,22,4.78,Medium
2025,10,22,3.72,Low
2025,11,22,4.66,Low
2025,12,22,5.88,Medium
2026,1,22,6.66,Medium
2026,2,22,7.34,Medium
2026,3,22,7.74,Medium
2026,4,22,8.17,Medium
2026,5,22,11.13,High
2025,1,23,4.48,Medium
2025,2,23,3.53,Low
2025,3,23,4.0,Low
2025,4,23,5.67,Medium
2025,5,23,5.95,Medium
2025,6,23,6.46,Medium
2025,7,23,9.89,Medium
2025,8,23,10.89,High
2025,9,23,8.11,High
2025,10,23,8.88,Medium
2025,11,23,9.29,High
2025,12,23,10.16,High
2026,1,23,8.96,Medium
2026,2,23,9.06,Medium
2026,3,23,8.11,High
2026,4,23,7.8,High
2026,5,23,9.67,Medium
2025,1,24,6.85,Medium
2025,2,24,3.42,Low
2025,3,24,3.25,Low
2025,4,24,3.66,Low
2025,5,24,4.92,Medium
2025,6,24,5.44,Medium
2025,7,24,6.69,Medium
2025,8,24,6.99,Medium
2025,9,24,8.15,Medium
2025,10,24,9.39,High
2025,11,24,9.93,High
2025,12,24,10.04,High
2026,1,24,7.2,Medium
2026,2,24,6.47,Medium
2026,3,24,6.05,Medium
2026,4,24,6.39,Medium
2026,5,24,9.51,Medium
2025,1,25,5.06,Medium
2025,2,25,2.54,Low
2025,3,25,2.61,Low
2025,4,25,3.37,Low
2025,5,25,4.3,Medium
2025,6,25,4.94,Medium
2025,7,25,5.23,Medium
2025,8,25,6.47,Medium
2025,9,25,6.4,Medium
2025,10,25,6.16,Medium
2025,11,25,6.49,Medium
2025,12,25,8.07,Medium
2026,1,25,8.78,Medium
2026,2,25,9.68,High
2026,3,25,9.94,High
2026,4,25,8.97,High
2026,5,25,10.95,High
2025,1,26,0.85,Low
2025,2,26,0.97,Low
2025,3,26,1.55,Low
2025,4,26,1.75,Low
2025,5,26,1.61,Low
2025,6,26,1.54,Low
2025,7,26,1.59,Low
2025,8,26,1.66,Low
2025,9,26,1.75,Low
2025,10,26,1.76,Low
2025,11,26,1.91,Low
2025,12,26,1.9,Low
2026,1,26,1.86,Low
2026,2,26,1.85,Low
2026,3,26,1.84,Low
2026,4,26,1.82,Low
2026,5,26,1.82,Low
2025,1,27,5.71,Medium
2025,2,27,4.54,Medium
2025,3,27,4.23,Medium
2025,4,27,4.19,Medium
2025,5,27,3.93,Medium
2025,6,27,3.76,Low
2025,7,27,4.15,Low
2025,8,27,5.41,Medium
2025,9,27,5.77,Medium
2025,10,27,6.13,Medium
2025,11,27,7.52,Medium
2025,12,27,7.89,Medium
2026,1,27,8.22,Medium
2026,2,27,10.03,High
2026,3,27,8.87,Medium
2026,4,27,7.28,High
