BARANGAY,Year,1 Total,1 D,1 A,2 Total,2 D,2 A,3 Total,3 D,3 A,4 Total,4 D,4 A,5 Total,5 D,5 A,6 Total,6 D,6 A,7 Total,7 D,7 A,8 Total,8 D,8 A,9 Total,9 D,9 A,10 Total,10 D,10 A,11 Total,11 D,11 A,12 Total,12 D,12 A,Grand Total
DATU ESMAEL (BAGO-A-INGUD),2013,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,1,0,1,5,0,5,0,0,0,1,0,1,13
DATU ESMAEL (BAGO-A-INGUD),2014,3,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,3,0,3,2,0,2,4,0,4,2,0,2,0,0,0,17
DATU ESMAEL (BAGO-A-INGUD),2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,3,0,0,0,5,4,1,2,2,0,14
DATU ESMAEL (BAGO-A-INGUD),2016,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,7
DATU ESMAEL (BAGO-A-INGUD),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,1,0,1,0,1,1,0,1,6
DATU ESMAEL (BAGO-A-INGUD),2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,2,0,2,0,0,0,7
DATU ESMAEL (BAGO-A-INGUD),2019,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,3,0,3,6,1,5,7,0,7,11,0,11,1,0,1,1,0,1,0,0,0,32
DATU ESMAEL (BAGO-A-INGUD),2020,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DATU ESMAEL (BAGO-A-INGUD),2022,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3
EMMANUEL BERGADO I,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
EMMANUEL BERGADO I,2011,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
EMMANUEL BERGADO I,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,5
EMMANUEL BERGADO I,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,1,0,1,0,0,0,0,0,0,5
EMMANUEL BERGADO I,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,5
EMMANUEL BERGADO I,2015,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,6,5,1,8,3,5,5,3,2,10,5,5,4,1,3,0,0,0,37
EMMANUEL BERGADO I,2016,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,7
EMMANUEL BERGADO I,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,2,0,2,6
EMMANUEL BERGADO I,2018,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,1,2,9
EMMANUEL BERGADO I,2019,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,5,0,5,6,0,6,17,0,17,7,0,7,9,0,9,3,0,3,50
EMMANUEL BERGADO I,2020,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7
EMMANUEL BERGADO I,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,1,2,1,1,0,1,0,1,7
EMMANUEL BERGADO I,2022,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
EMMANUEL BERGADO I,2023,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
EMMANUEL BERGADO I,2024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,2,0,2,3,0,3,6,0,6,1,0,1,16
EMMANUEL BERGADO II,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
EMMANUEL BERGADO II,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5
EMMANUEL BERGADO II,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EMMANUEL BERGADO II,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
EMMANUEL BERGADO II,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EMMANUEL BERGADO II,2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,2,1,1,0,0,0,8
EMMANUEL BERGADO II,2016,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5
EMMANUEL BERGADO II,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,3
EMMANUEL BERGADO II,2018,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
EMMANUEL BERGADO II,2019,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,6,0,6,2,0,2,2,0,2,23
EMMANUEL BERGADO II,2020,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
EMMANUEL BERGADO II,2021,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EMMANUEL BERGADO II,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
EMMANUEL BERGADO II,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
EMMANUEL BERGADO II,2024,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,4,0,4,0,0,0,2,0,2,9
FATIMA I,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,0,2,5
FATIMA I,2011,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FATIMA I,2012,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
FATIMA I,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,3,0,3,0,0,0,0,0,0,0,0,0,6
FATIMA I,2014,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
FATIMA I,2015,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,2,2,0,2,1,1,7,5,2,1,1,0,17
FATIMA I,2016,4,0,4,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,5,0,5,14
FATIMA I,2017,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,5
FATIMA I,2018,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,2,0,2,1,0,1,10
FATIMA I,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,10,11,0,11,19,0,19,6,0,6,2,0,2,0,0,0,49
FATIMA I,2020,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
FATIMA I,2022,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,4
FATIMA I,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FATIMA I,2024,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,4,0,4,6,0,6,5,0,5,22
FATIMA II,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,4
FATIMA II,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2
FATIMA II,2012,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,5
FATIMA II,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
FATIMA II,2014,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,5
FATIMA II,2015,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7,2,5,9,8,1,3,1,2,1,0,1,25
FATIMA II,2016,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,2,0,2,0,0,0,7
FATIMA II,2017,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FATIMA II,2018,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,0,3,2,0,2,0,0,0,8
FATIMA II,2019,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,9,12,0,12,10,0,10,9,0,9,2,0,2,3,0,3,0,0,0,46
FATIMA II,2020,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
FATIMA II,2021,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
FATIMA II,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
FATIMA II,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
FATIMA II,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,1,0,1,0,0,0,6
FATIMA III,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
FATIMA III,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
FATIMA III,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,4
FATIMA III,2013,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4
FATIMA III,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,4
FATIMA III,2015,1,1,0,1,0,1,2,1,1,1,0,1,1,1,0,0,0,0,2,1,1,3,2,1,3,2,1,3,2,1,1,1,0,1,0,1,19
FATIMA III,2016,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4
FATIMA III,2017,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3
FATIMA III,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,0,3,1,0,1,0,0,0,6
FATIMA III,2019,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,2,0,2,5,0,5,0,0,0,2,0,2,15
FATIMA III,2020,2,0,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
FATIMA III,2021,5,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
FATIMA III,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
FATIMA III,2023,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FATIMA III,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,6,0,6,3,0,3,5,0,5,3,0,3,21
H-II,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,1,0,1,0,0,0,5
H-II,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
H-II,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2
H-II,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
H-II,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,10,1,9,23,0,23,16,0,16,8,0,8,62
LANGKAAN I,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,5,0,5,3,0,3,1,0,1,15
LANGKAAN I,2011,3,0,3,0,0,0,1,0,1,1,0,1,1,0,1,4,0,4,7,0,7,4,0,4,5,0,5,1,0,1,2,0,2,0,0,0,29
