BARANGAY,YEAR,MONTH,Cases,RAINFALL,TMAX,TMIN,WIND_SPEED,WIND_DIRECTION,RH,TAVG
BUROL I,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
BUROL I,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
BUROL I,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
BUROL I,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
BUROL I,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
BUROL I,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
BUROL I,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
BUROL I,2017,4,1,39.3,33.8,27.2,4.0,90.0,73.0,30.5
BUROL I,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
BUROL I,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
BUROL I,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
BUROL I,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
BUROL I,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
BUROL I,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
BUROL II,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
BUROL II,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
BUROL II,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
BUROL II,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
BUROL II,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
BUROL II,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
BUROL II,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
BUROL II,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
BUROL II,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
BUROL II,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
BUROL II,2021,4,1,4.4,33.9,26.7,3.0,90.0,73.0,30.3
BUROL II,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
BUROL III,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
BUROL III,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
BUROL III,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
BUROL III,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
BUROL III,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
BUROL III,2015,4,1,0.0,34.3,26.8,2.0,140.0,73.0,30.55
BUROL III,2016,4,1,20.2,35.0,27.9,4.0,90.0,70.0,31.45
BUROL III,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
BUROL III,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
BUROL III,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
BUROL III,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
BUROL III,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
BUROL III,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
BUROL III,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
DASMARIÑAS,2013,4,3,1.4,35.3,27.7,4.0,140.0,71.0,31.5
DATU ESMAEL (BAGO-A-INGUD),2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
DATU ESMAEL (BAGO-A-INGUD),2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
DATU ESMAEL (BAGO-A-INGUD),2012,4,2,10.5,34.5,27.0,4.0,140.0,71.0,30.75
DATU ESMAEL (BAGO-A-INGUD),2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
DATU ESMAEL (BAGO-A-INGUD),2014,4,2,1.2,35.0,26.8,4.0,140.0,72.0,30.9
DATU ESMAEL (BAGO-A-INGUD),2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
DATU ESMAEL (BAGO-A-INGUD),2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
DATU ESMAEL (BAGO-A-INGUD),2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
DATU ESMAEL (BAGO-A-INGUD),2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
DATU ESMAEL (BAGO-A-INGUD),2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
DATU ESMAEL (BAGO-A-INGUD),2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
DATU ESMAEL (BAGO-A-INGUD),2022,4,1,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
EMMANUEL BERGADO I,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
EMMANUEL BERGADO I,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
EMMANUEL BERGADO I,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
EMMANUEL BERGADO I,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
EMMANUEL BERGADO I,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
EMMANUEL BERGADO I,2015,4,1,0.0,34.3,26.8,2.0,140.0,73.0,30.55
EMMANUEL BERGADO I,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
EMMANUEL BERGADO I,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
EMMANUEL BERGADO I,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
EMMANUEL BERGADO I,2019,4,1,3.6,35.4,27.3,3.0,90.0,66.0,31.35
EMMANUEL BERGADO I,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
EMMANUEL BERGADO I,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
EMMANUEL BERGADO I,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
EMMANUEL BERGADO I,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
EMMANUEL BERGADO II,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
EMMANUEL BERGADO II,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
EMMANUEL BERGADO II,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
EMMANUEL BERGADO II,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
EMMANUEL BERGADO II,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
EMMANUEL BERGADO II,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
EMMANUEL BERGADO II,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
EMMANUEL BERGADO II,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
EMMANUEL BERGADO II,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
EMMANUEL BERGADO II,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
EMMANUEL BERGADO II,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
EMMANUEL BERGADO II,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
EMMANUEL BERGADO II,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
EMMANUEL BERGADO II,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
FATIMA I,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
FATIMA I,2011,4,2,3.0,32.7,26.0,5.0,110.0,70.0,29.35
FATIMA I,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
FATIMA I,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
FATIMA I,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
FATIMA I,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
FATIMA I,2016,4,1,20.2,35.0,27.9,4.0,90.0,70.0,31.45
FATIMA I,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
FATIMA I,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
FATIMA I,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
FATIMA I,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
FATIMA I,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
FATIMA I,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
FATIMA II,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
FATIMA II,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
FATIMA II,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
FATIMA II,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
FATIMA II,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
FATIMA II,2015,4,1,0.0,34.3,26.8,2.0,140.0,73.0,30.55
FATIMA II,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
FATIMA II,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
FATIMA II,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
FATIMA II,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
FATIMA II,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
FATIMA II,2021,4,1,4.4,33.9,26.7,3.0,90.0,73.0,30.3
FATIMA II,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
FATIMA II,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
FATIMA III,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
FATIMA III,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
FATIMA III,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
FATIMA III,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
FATIMA III,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
FATIMA III,2015,4,1,0.0,34.3,26.8,2.0,140.0,73.0,30.55
FATIMA III,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
FATIMA III,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
FATIMA III,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
FATIMA III,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
FATIMA III,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
FATIMA III,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
FATIMA III,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
FATIMA III,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
H-II,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
H-II,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
H-II,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
H-II,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
LANGKAAN I,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
LANGKAAN I,2011,4,1,3.0,32.7,26.0,5.0,110.0,70.0,29.35
LANGKAAN I,2012,4,2,10.5,34.5,27.0,4.0,140.0,71.0,30.75
LANGKAAN I,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
LANGKAAN I,2014,4,2,1.2,35.0,26.8,4.0,140.0,72.0,30.9
LANGKAAN I,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
LANGKAAN I,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
LANGKAAN I,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
LANGKAAN I,2018,4,3,0.2,34.3,27.2,3.0,90.0,69.0,30.75
LANGKAAN I,2019,4,1,3.6,35.4,27.3,3.0,90.0,66.0,31.35
LANGKAAN I,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
LANGKAAN I,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
LANGKAAN I,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
LANGKAAN I,2023,4,1,68.7,33.5,26.7,3.0,90.0,69.0,30.1
LANGKAAN II,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
LANGKAAN II,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
LANGKAAN II,2012,4,5,10.5,34.5,27.0,4.0,140.0,71.0,30.75
LANGKAAN II,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
LANGKAAN II,2014,4,5,1.2,35.0,26.8,4.0,140.0,72.0,30.9
LANGKAAN II,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
LANGKAAN II,2016,4,1,20.2,35.0,27.9,4.0,90.0,70.0,31.45
LANGKAAN II,2017,4,1,39.3,33.8,27.2,4.0,90.0,73.0,30.5
LANGKAAN II,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
LANGKAAN II,2019,4,5,3.6,35.4,27.3,3.0,90.0,66.0,31.35
LANGKAAN II,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
LANGKAAN II,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
LANGKAAN II,2022,4,1,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
LANGKAAN II,2023,4,1,68.7,33.5,26.7,3.0,90.0,69.0,30.1
LUZVIMINDA I,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
LUZVIMINDA I,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
LUZVIMINDA I,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
LUZVIMINDA I,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
LUZVIMINDA I,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
LUZVIMINDA I,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
LUZVIMINDA I,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
LUZVIMINDA I,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
LUZVIMINDA I,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
LUZVIMINDA I,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
LUZVIMINDA I,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
LUZVIMINDA I,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
LUZVIMINDA II,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
LUZVIMINDA II,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
LUZVIMINDA II,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
LUZVIMINDA II,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
LUZVIMINDA II,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
LUZVIMINDA II,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
LUZVIMINDA II,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
LUZVIMINDA II,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
LUZVIMINDA II,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
LUZVIMINDA II,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
LUZVIMINDA II,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
LUZVIMINDA II,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
PALIPARAN I,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
PALIPARAN I,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
PALIPARAN I,2012,4,1,10.5,34.5,27.0,4.0,140.0,71.0,30.75
PALIPARAN I,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
PALIPARAN I,2014,4,1,1.2,35.0,26.8,4.0,140.0,72.0,30.9
PALIPARAN I,2015,4,2,0.0,34.3,26.8,2.0,140.0,73.0,30.55
PALIPARAN I,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
PALIPARAN I,2017,4,1,39.3,33.8,27.2,4.0,90.0,73.0,30.5
PALIPARAN I,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
PALIPARAN I,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
PALIPARAN I,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
PALIPARAN I,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
PALIPARAN I,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
PALIPARAN I,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
PALIPARAN II,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
PALIPARAN II,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
PALIPARAN II,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
PALIPARAN II,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
PALIPARAN II,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
PALIPARAN II,2015,4,3,0.0,34.3,26.8,2.0,140.0,73.0,30.55
PALIPARAN II,2016,4,1,20.2,35.0,27.9,4.0,90.0,70.0,31.45
PALIPARAN II,2017,4,1,39.3,33.8,27.2,4.0,90.0,73.0,30.5
PALIPARAN II,2018,4,1,0.2,34.3,27.2,3.0,90.0,69.0,30.75
PALIPARAN II,2019,4,2,3.6,35.4,27.3,3.0,90.0,66.0,31.35
PALIPARAN II,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
PALIPARAN II,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
PALIPARAN II,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
PALIPARAN II,2023,4,1,68.7,33.5,26.7,3.0,90.0,69.0,30.1
PALIPARAN III,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
PALIPARAN III,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
PALIPARAN III,2012,4,1,10.5,34.5,27.0,4.0,140.0,71.0,30.75
PALIPARAN III,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
PALIPARAN III,2014,4,1,1.2,35.0,26.8,4.0,140.0,72.0,30.9
PALIPARAN III,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
PALIPARAN III,2016,4,1,20.2,35.0,27.9,4.0,90.0,70.0,31.45
PALIPARAN III,2017,4,1,39.3,33.8,27.2,4.0,90.0,73.0,30.5
PALIPARAN III,2018,4,1,0.2,34.3,27.2,3.0,90.0,69.0,30.75
PALIPARAN III,2019,4,4,3.6,35.4,27.3,3.0,90.0,66.0,31.35
PALIPARAN III,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
PALIPARAN III,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
PALIPARAN III,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
PALIPARAN III,2023,4,2,68.7,33.5,26.7,3.0,90.0,69.0,30.1
SABANG,2010,4,1,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
SABANG,2011,4,1,3.0,32.7,26.0,5.0,110.0,70.0,29.35
SABANG,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
SABANG,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
SABANG,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
SABANG,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
SABANG,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
SABANG,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
SABANG,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
SABANG,2019,4,1,3.6,35.4,27.3,3.0,90.0,66.0,31.35
SABANG,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
SABANG,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
SABANG,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
SABANG,2023,4,1,68.7,33.5,26.7,3.0,90.0,69.0,30.1
SAINT PETER I,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
SAINT PETER I,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
SAINT PETER I,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
SAINT PETER I,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
SAINT PETER I,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
SAINT PETER I,2015,4,1,0.0,34.3,26.8,2.0,140.0,73.0,30.55
SAINT PETER I,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
SAINT PETER I,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
SAINT PETER I,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
SAINT PETER I,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
SAINT PETER I,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
SAINT PETER I,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
SAINT PETER I,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
SAINT PETER II,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
SAINT PETER II,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
SAINT PETER II,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
SAINT PETER II,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
SAINT PETER II,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
SAINT PETER II,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
SAINT PETER II,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
SAINT PETER II,2019,4,0,3.6,35.4,27.3,3.0,90.0,66.0,31.35
SAINT PETER II,2022,4,1,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
SAINT PETER II,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
SALAWAG,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
SALAWAG,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
SALAWAG,2012,4,2,10.5,34.5,27.0,4.0,140.0,71.0,30.75
SALAWAG,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
SALAWAG,2014,4,2,1.2,35.0,26.8,4.0,140.0,72.0,30.9
SALAWAG,2015,4,2,0.0,34.3,26.8,2.0,140.0,73.0,30.55
SALAWAG,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
SALAWAG,2017,4,4,39.3,33.8,27.2,4.0,90.0,73.0,30.5
SALAWAG,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
SALAWAG,2019,4,3,3.6,35.4,27.3,3.0,90.0,66.0,31.35
SALAWAG,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
SALAWAG,2021,4,2,4.4,33.9,26.7,3.0,90.0,73.0,30.3
SALAWAG,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
SALAWAG,2023,4,5,68.7,33.5,26.7,3.0,90.0,69.0,30.1
SALITRAN I,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
SALITRAN I,2011,4,1,3.0,32.7,26.0,5.0,110.0,70.0,29.35
SALITRAN I,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
SALITRAN I,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
SALITRAN I,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
SALITRAN I,2015,4,0,0.0,34.3,26.8,2.0,140.0,73.0,30.55
SALITRAN I,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
SALITRAN I,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
SALITRAN I,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
SALITRAN I,2019,4,1,3.6,35.4,27.3,3.0,90.0,66.0,31.35
SALITRAN I,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
SALITRAN I,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
SALITRAN I,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
SALITRAN I,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
SALITRAN II,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
SALITRAN II,2011,4,1,3.0,32.7,26.0,5.0,110.0,70.0,29.35
SALITRAN II,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
SALITRAN II,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
SALITRAN II,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
SALITRAN II,2015,4,1,0.0,34.3,26.8,2.0,140.0,73.0,30.55
SALITRAN II,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
SALITRAN II,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
SALITRAN II,2018,4,2,0.2,34.3,27.2,3.0,90.0,69.0,30.75
SALITRAN II,2019,4,2,3.6,35.4,27.3,3.0,90.0,66.0,31.35
SALITRAN II,2020,4,0,0.0,35.0,27.4,3.0,90.0,71.0,31.2
SALITRAN II,2021,4,0,4.4,33.9,26.7,3.0,90.0,73.0,30.3
SALITRAN II,2022,4,0,41.4,33.2,26.7,3.0,90.0,72.0,29.950000000000003
SALITRAN II,2023,4,0,68.7,33.5,26.7,3.0,90.0,69.0,30.1
SALITRAN III,2010,4,0,45.4,34.3,27.030769230769224,5.0,110.0,70.76923076923077,30.665384615384617
SALITRAN III,2011,4,0,3.0,32.7,26.0,5.0,110.0,70.0,29.35
SALITRAN III,2012,4,0,10.5,34.5,27.0,4.0,140.0,71.0,30.75
SALITRAN III,2013,4,0,1.4,35.3,27.7,4.0,140.0,71.0,31.5
SALITRAN III,2014,4,0,1.2,35.0,26.8,4.0,140.0,72.0,30.9
SALITRAN III,2015,4,1,0.0,34.3,26.8,2.0,140.0,73.0,30.55
SALITRAN III,2016,4,0,20.2,35.0,27.9,4.0,90.0,70.0,31.45
SALITRAN III,2017,4,0,39.3,33.8,27.2,4.0,90.0,73.0,30.5
SALITRAN III,2018,4,0,0.2,34.3,27.2,3.0,90.0,69.0,30.75
SALITRAN III,2019,4,1,3.6,35.4,27.3,3.0,90.0,66.0,31.35
