BARANGAY,YEAR,MONTH,Cases,RAINFALL,TMAX,TMIN,WIND_SPEED,WIND_DIRECTION,RH,TAVG
SALAWAG,2021,1,2,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
SALAWAG,2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
SALAWAG,2023,1,6,72.6,29.7,24.6,3.0,90.0,77.0,27.15
SALITRAN I,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
SALITRAN I,2011,1,4,69.7,30.0,24.7,3.0,110.0,76.0,27.35
SALITRAN I,2012,1,0,25.2,30.8,25.3,3.0,140.0,78.0,28.05
SALITRAN I,2013,1,1,37.6,30.2,24.2,4.0,140.0,78.0,27.2
SALITRAN I,2014,1,0,0.4,29.5,23.4,3.0,140.0,72.0,26.45
SALITRAN I,2015,1,2,31.8,29.5,23.6,2.0,140.0,79.0,26.55
SALITRAN I,2016,1,1,1.4,31.3,25.3,3.0,90.0,78.0,28.3
SALITRAN I,2017,1,1,52.5,29.7,25.0,3.0,90.0,77.0,27.35
SALITRAN I,2018,1,2,16.4,30.3,25.4,3.0,90.0,77.0,27.85
SALITRAN I,2019,1,3,5.7,30.6,24.9,3.0,90.0,72.0,27.75
SALITRAN I,2020,1,4,4.2,31.0,24.9,3.0,90.0,78.0,27.95
SALITRAN I,2021,1,5,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
SALITRAN I,2022,1,1,15.8,30.8,24.7,3.0,90.0,74.0,27.75
SALITRAN I,2023,1,0,72.6,29.7,24.6,3.0,90.0,77.0,27.15
SALITRAN II,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
SALITRAN II,2011,1,1,69.7,30.0,24.7,3.0,110.0,76.0,27.35
SALITRAN II,2012,1,1,25.2,30.8,25.3,3.0,140.0,78.0,28.05
SALITRAN II,2013,1,1,37.6,30.2,24.2,4.0,140.0,78.0,27.2
